gene_id	length	effective_length	TPM_average	COUNT_Tsirt_JLS178	COUNT_Tsirt_JLS181	COUNT_Tsirt_JLS187	COUNT_Tsirt_JLS202	COUNT_Tsirt_JLS216	COUNT_Tsirt_JLS223	COUNT_Tsirt_JLS224	COUNT_Tsirt_JLS228	COUNT_Tsirt_JLS242	COUNT_Tsirt_JLS247	COUNT_Tsirt_JLS248	COUNT_Tsirt_JLS249	COUNT_Tsirt_JLS253	COUNT_Tsirt_JLS254	COUNT_Tsirt_JLS255	COUNT_Tsirt_JLS256	COUNT_Tsirt_JLS257	COUNT_Tsirt_JLS260	COUNT_Tsirt_JLS269	TPM_Tsirt_JLS178	TPM_Tsirt_JLS181	TPM_Tsirt_JLS187	TPM_Tsirt_JLS202	TPM_Tsirt_JLS216	TPM_Tsirt_JLS223	TPM_Tsirt_JLS224	TPM_Tsirt_JLS228	TPM_Tsirt_JLS242	TPM_Tsirt_JLS247	TPM_Tsirt_JLS248	TPM_Tsirt_JLS249	TPM_Tsirt_JLS253	TPM_Tsirt_JLS254	TPM_Tsirt_JLS255	TPM_Tsirt_JLS256	TPM_Tsirt_JLS257	TPM_Tsirt_JLS260	TPM_Tsirt_JLS269	TPM10K_Tsirt_JLS178	TPM10K_Tsirt_JLS181	TPM10K_Tsirt_JLS187	TPM10K_Tsirt_JLS202	TPM10K_Tsirt_JLS216	TPM10K_Tsirt_JLS223	TPM10K_Tsirt_JLS224	TPM10K_Tsirt_JLS228	TPM10K_Tsirt_JLS242	TPM10K_Tsirt_JLS247	TPM10K_Tsirt_JLS248	TPM10K_Tsirt_JLS249	TPM10K_Tsirt_JLS253	TPM10K_Tsirt_JLS254	TPM10K_Tsirt_JLS255	TPM10K_Tsirt_JLS256	TPM10K_Tsirt_JLS257	TPM10K_Tsirt_JLS260	TPM10K_Tsirt_JLS269	TPM10K_average
extenderContig146||sp|P46782.4|	612	453.35	3089.6726315789474	8281	920	7610	7448	4705	7194	5006	3102	8532	5717	4437	4722	5096	4117	6566	9456	9036	7387	5230	3411.22	2746.19	3322.76	3232.55	2865.26	3342.57	3085.39	3063	3492.56	3021.92	2470	2549.6	2673.16	2804.09	3631.63	2999.97	3479.29	3641.22	2871.4	926.1462299999998	745.590585	902.1293400000001	877.637325	777.91809	907.5077550000001	837.6833849999999	831.6045	948.23004	820.45128	670.605	692.2164	725.76294	761.3104350000001	985.9875450000001	814.491855	944.6272349999999	988.5912299999999	779.5851	838.8461194736842
extenderContig150||sp|P23358.1|	498	339.35	1398.6557894736843	4999.1	304.58	4744.37	748.15	1760.62	1874.93	1089.65	1084.66	1772.35	1902.41	1826	1637.87	1735.52	608.06	2653.41	3932	1965.41	2846.25	2048.65	2751.1	1203.11	2774.94	431.21	1416.59	1155.99	881.58	1425.76	968.47	1330.19	1349.74	1173.88	1198.49	547.9	1937.01	1656.74	1012.24	1868.01	1491.51	746.92365	326.644365	753.3962100000001	117.07351499999999	384.604185	313.851285	239.34897	387.09384	262.93960500000003	361.146585	366.45441	318.70842000000005	325.390035	148.75485	525.898215	449.80490999999995	274.82316000000003	507.16471500000006	404.94496499999997	379.73504684210525
extenderContig151||sp|Q56K10.3|	438	279.35	501.73263157894735	0	0	0	0	0	0	0	2516.81	912.27	748.63	0	0	0	0	0	8423	0.98	0	0	0	0	0	0	0	0	0	4006.75	605.15	630.58	0	0	0	0	0	4289.82	0.62	0	0	0	0	0	0	0	0	0	1087.832625	164.298225	171.20247	0	0	0	0	0	1164.6861299999998	0.16833	0	0	136.2204094736842
extenderContig158||Toxin540_CTL	483	324.35	1293.9442105263158	1.01	1	1	8.22	48.29	28079.7	0	2	0	0	313.49	0	190.11	0	0	0	0	127.26	7853.46	0.58	4.13	0.61	4.95	40.57	18090.87	0	2.75	0	0	242.17	0	136.99	0	0	0	0	87.33	5973.99	0.15746999999999997	1.121295	0.16561499999999998	1.343925	11.014755000000001	4911.671205	0	0.746625	0	0	65.74915499999999	0	37.192785	0	0	0	0	23.710095	1621.938285	351.3058531578947
extenderContig162||Toxin28982_SVMPIII	1854	1695.35	14981.441052631579	129698.36	22523.22	256812.39	28219.23	199177.01	34650.17	81291.85	67501.83	100596.14	117352.83	114059.96	103244.02	147406.99	16318.24	105664.93	77478.68	71615.66	49384.38	187754.09	14286.75	18359.91	29809.46	3318.48	33243.08	4369.62	13936.98	17962.62	11030.52	16954.72	17208.32	15119.05	21366.26	3037.04	16054.72	6658.66	7354.34	6557.51	28019.34	3878.852625	4984.7155649999995	8093.268389999999	900.96732	9025.49622	1186.3518299999998	3783.8900699999995	4876.8513299999995	2994.78618	4603.206480000001	4672.05888	4104.822075	5800.93959	824.5563599999999	4358.8564799999995	1807.8261899999998	1996.70331	1780.3639650000002	7607.25081	4067.4612457894737
extenderContig162||Toxin765_SVMP	1866	1707.35	6549.5842105263155	46635.71	4439.21	52793.88	39324.94	46756.37	12337.81	26723	24477.1	47480.91	54507.58	57012.67	68521.82	87114.94	7756.86	102205.84	63240.1	42378.97	47099.13	53583.42	5100.99	3593.41	6084.88	4592.12	7749.39	1545	4549.76	6467.84	5169.78	7820.15	8541.39	9964.17	12539.41	1433.59	15421.08	5396.95	4321.35	6210.23	7940.61	1384.918785	975.610815	1652.04492	1246.76058	2103.959385	419.4675	1235.25984	1756.0185600000002	1403.59527	2123.170725	2318.987385	2705.272155	3404.449815	389.21968499999997	4186.82322	1465.271925	1173.2465250000002	1686.077445	2155.875615	1778.2121131578947
extenderContig167||sp|P79781.3|	471	312.35	4257.932631578948	5439	654	5024	5455	4082	6696	5099	2670	7233	5003	5063	4451	6150	7098	7536	9864	5792	9927	5158	3251.92	2797.6	3195.47	3408.85	3554.81	4474.96	4455.22	3808.4	4292.84	3787.74	4057.5	3458.24	4591.07	6925.49	5952.24	4506.37	3242.26	7070.19	4069.55	882.89628	759.5484	867.5701049999999	925.502775	965.1309150000001	1214.95164	1209.59223	1033.9806	1165.50606	1028.37141	1101.61125	938.91216	1246.4755049999999	1880.2705349999999	1616.03316	1223.479455	880.27359	1919.5565849999998	1104.882825	1156.028709473684
extenderContig169||sp|Q98953.1|	273	114.49	1225.9015789473683	0	399.24	0.5	5.46	0	0	0	624.9	3142.7	0	614.45	2661.85	0	0	2438.18	0	0	0	0	0	4355.68	0.89	8.91	0	0	0	2369.9	5059.29	0	1285.69	5387.03	0	0	4824.74	0	0	0	0	0	1182.5671200000002	0.241635	2.4190650000000002	0	0	0	643.42785	1373.597235	0	349.064835	1462.5786449999998	0	0	1309.91691	0	0	0	0	332.8322786842105
extenderContig171||sp|D8VNS0.1|	1851	1692.35	10838.46052631579	76956.67	334.92	226226.64	10334.28	176438.4	37615.94	75987.62	611.77	73569.39	2896.62	74703.52	82534.57	94573.23	18861.46	159570.97	82677.64	84014.38	60419.82	166851.21	8492.09	273.49	26305.87	1217.42	29499.69	4751.98	13050.35	163.08	8081.28	419.23	11290.46	12107.67	13732.15	3516.54	24287.74	7118	8642.89	8037.04	24943.78	2305.6024350000002	74.252535	7142.043705	330.52953	8009.165835	1290.16257	3543.170025	44.27622	2194.06752	113.820945	3065.3598899999997	3287.232405	3728.278725	954.74061	6594.12141	1932.537	2346.5446349999997	2182.05636	6772.23627	2942.642032894737
extenderContig179||sp|P09102.3|	1545	1386.35	11929.394210526316	137248	5786	126893	51094	93696	14403	57351	42214	98483	112328	108272	75505	85099	6219	33988	106255	105346	33642	60121	18488.07	5757.79	18020.6	7339.77	19084.93	2218.45	11984.78	13728.45	13203.88	19810.26	19954.05	13505.76	15043.37	1412.91	6301.16	11155.28	13232.25	5459.55	10957.18	5019.511004999999	1563.239985	4892.5929	1992.7475550000001	5181.558495	602.3091749999999	3253.8677700000003	3727.274175	3584.8534199999995	5378.48559	5417.524575	3666.81384	4084.2749550000003	383.605065	1710.7649399999998	3028.6585200000004	3592.555875	1482.267825	2974.87437	3238.8305281578946
extenderContig191||sp|P47836.2|	792	633.35	2201.6942105263156	16490.05	772.65	6838.19	13138.71	545.33	3.75	210.78	6393.14	85.67	7296.12	354.47	7188.94	6241.7	202.56	8808.03	15099.13	7192.85	11194.79	7773.22	4862.26	1664.29	2132.33	4102.57	239.98	1.25	94.41	4532.27	25.12	2783.94	141.98	2793.65	2373.32	99.58	3523.46	3446.06	1980.42	3961.16	3074.14	1320.10359	451.85473499999995	578.927595	1113.8477549999998	65.15456999999999	0.339375	25.632315	1230.511305	6.82008	755.8397100000001	38.54756999999999	758.475975	644.3563800000001	27.035970000000002	956.6193900000001	935.6052900000001	537.68403	1075.45494	834.62901	597.7599781578947
extenderContig193||sp|P23358.1|	498	339.35	965.5678947368422	659.9	183.42	915.63	4542.85	1115.38	1713.07	1573.35	656.34	2054.65	1097.59	1096	1234.13	1694.48	765.94	1110.59	1050	3516.59	1189.75	995.35	363.15	724.54	535.54	2618.33	897.43	1056.2	1272.9	862.74	1122.73	767.45	810.14	884.52	1170.15	690.17	810.74	442.42	1811.14	780.84	724.66	98.59522499999999	196.71260999999998	145.39910999999998	710.8765950000001	243.65224499999997	286.7583	345.59235000000007	234.23391	304.82119500000005	208.36267500000002	219.95301	240.14718	317.69572500000004	187.38115499999998	220.11591	120.11703	491.72451000000007	211.99806	196.74518999999998	262.15168342105267
extenderContig196||sp|Q98953.1|	273	114.49	420.48526315789474	0	13.09	0	4710.12	0	0	0	0	0	0	73.04	1.6	0	0	0	0	0	0	0	0	142.84	0	7690.3	0	0	0	0	0	0	152.83	3.25	0	0	0	0	0	0	0	0	38.781060000000004	0	2087.91645	0	0	0	0	0	0	41.493345	0.882375	0	0	0	0	0	0	0	114.16174894736842
extenderContig199||sp|P62829.1|	423	264.35	8715.796842105263	7478	2168	7874	8197	6029	12227	10754	6934	15690	12829	8481	11026	8119	9708	8917	23957	9199	9267	5932	5282.86	10877.63	5930.18	6024.34	6150.72	9604.58	10953.54	11654.01	10996.22	11388.83	7992.84	10071.84	7080.92	11107.6	8244.32	12873.01	6090.3	7778.13	5498.27	1434.29649	2953.2765449999997	1610.0438700000002	1635.60831	1669.92048	2607.64347	2973.8861100000004	3164.0637150000002	2985.4737299999997	3092.067345	2170.0560600000003	2734.5045600000003	1922.4697800000001	3015.7134	2238.33288	3495.022215	1653.51645	2111.762295	1492.780305	2366.338842631579
extenderContig199||Toxin2314_3FTx	267	108.63	1052.3484210526315	0	0	0	16.05	0.67	0	0	1.79	0	2.57	0	0	0	4.75	9599.8	23.33	8.44	1	1.15	0	0	0	27.52	1.54	0	0	7.15	0	5.18	0	0	0	12.38	19893.41	29.28	13.72	1.99	2.45	0	0	0	7.47168	0.41811000000000004	0	0	1.941225	0	1.40637	0	0	0	3.3611700000000004	5401.060815	7.94952	3.7249800000000004	0.540285	0.6651750000000001	285.7125963157895
extenderContig20||sp|A8QL49.1|	1851	1692.35	584.6894736842105	2140.71	518.93	6557.21	670.43	2081.96	948.88	697.21	892.52	3968.02	4269.85	1800.1	1577.1	3508.67	1846.58	1833.97	65016.42	2712.27	320.42	1155.69	236.22	423.75	762.48	78.98	348.09	119.87	119.74	237.92	435.87	617.98	272.06	231.36	509.46	344.28	279.14	5597.49	279.02	42.62	172.77	64.13373	115.048125	207.01332	21.443070000000002	94.506435	32.544705	32.509409999999995	64.59527999999999	118.338705	167.78157	73.86429	62.814240000000005	138.31839	93.47202	75.78650999999999	1519.718535	75.75393	11.57133	46.90705500000001	158.74319210526315
extenderContig201||sp|A9CB60.1|	648	489.35	3262.27	9000	742	8636	10001	5748	7811	2005	3337	9538	6173	6200	5968	8072	3803	6473	12825	7960	13303	5800	3434.66	2056.21	3491.28	4026.55	3250.85	3367.25	1149.31	3055.01	3617.76	3029.5	3201.81	2989.52	3935.5	2404.84	3325.68	3774.35	2838.74	6079.42	2954.89	932.5101900000001	558.261015	947.8825200000001	1093.208325	882.605775	914.208375	312.037665	829.4352150000001	982.22184	822.50925	869.291415	811.65468	1068.48825	652.9140600000001	902.92212	1024.736025	770.71791	1650.5625300000002	802.2526349999999	885.706305
extenderContig203||sp|P24479.2|	324	165.35	112.00947368421052	0	0	0	1569	0.41	0	0	0	0	0	22.81	1.87	0	0	42.47	0	0.67	0	151.12	0	0	0	1810.78	0.65	0	0	0	0	0	33.75	2.68	0	0	60.57	0	0.71	0	219.04	0	0	0	491.62677	0.176475	0	0	0	0	0	9.163125	0.72762	0	0	16.444754999999997	0	0.192765	0	59.469359999999995	30.41057210526316
extenderContig208||sp|P62937.2|	498	339.35	2192.2926315789473	3937.61	291.87	3108.49	2904.07	3552.71	5368.58	2663.44	1301.06	4638.64	2883.17	5351.76	2811.15	3605.77	2487.11	2606.73	3484.34	3300.96	5037.99	1618.29	2166.94	1152.91	1818.13	1673.8	2858.5	3310.01	2154.83	1710.21	2534.71	2015.95	3955.91	2014.79	2490.02	2241.05	1902.93	1468.12	1700.09	3306.47	1178.19	588.3242100000001	313.01506500000005	493.622295	454.4367	776.08275	898.667715	585.036345	464.322015	688.173765	547.330425	1074.029565	547.015485	676.04043	608.4450750000001	516.645495	398.59458	461.57443499999994	897.7066049999999	319.878585	595.2074494736842
extenderContig218||Toxin10763_CRISP	720	561.35	6991.41052631579	27.36	5638.56	8.49	10.45	10.08	4.08	0	90811.01	4.01	13.11	5.37	7.08	4.22	2.98	13.3	7	103724.43	20.51	32153.45	9.1	13667.48	2.99	3.68	4.99	1.54	0	72565.03	1.33	5.63	2.42	3.1	1.8	1.65	5.98	1.8	32232.4	8.18	14317.7	2.47065	3710.7208199999995	0.8117850000000001	0.9991200000000001	1.3547850000000001	0.41811000000000004	0	19701.405645	0.36109500000000005	1.5285449999999998	0.65703	0.84165	0.4887	0.447975	1.6235700000000002	0.4887	8751.0966	2.22087	3887.25555	1898.167957894737
extenderContig224||sp|Q56JZ1.3|	636	477.35	1704.661052631579	11964.29	0	12.65	2592.71	4368.14	1145.81	334.78	3141.94	2777.92	2441.31	3.04	4612.39	5818.3	1325.61	4979.06	9427.32	4835.13	5323.3	4381.29	4680.7	0	5.24	1069.66	2530.6	506.13	196.48	2948.02	1080.09	1227.38	1.61	2367.48	2905.03	858.74	2620.22	2843.01	1767.83	2493.3	2287.04	1270.81005	0	1.42266	290.41269000000005	687.0579	137.41429499999998	53.344319999999996	800.38743	293.24443499999995	333.23367	0.43711500000000003	642.7708200000001	788.715645	233.14791	711.38973	771.8772150000001	479.965845	676.93095	620.9313599999999	462.8154757894737
extenderContig231||sp|D8VNS0.1|	1851	1692.35	12526.817368421052	157762.92	3336.38	36883.04	77908.8	43229.08	6912.53	391.53	101644.3	15311.44	135602.44	0	136111.95	176664.54	22204.77	129025.26	103777.28	104394.01	216582.56	200379.01	17408.97	2724.45	4288.79	9177.95	7227.7	873.25	67.27	27095.94	1681.9	19625.8	0	19967.37	25651.91	4139.87	19638.49	8934.54	10739.43	28809.8	29956.1	4726.535355000001	739.6881749999999	1164.406485	2491.8134250000003	1962.32055	237.087375	18.263804999999998	7356.54771	456.63585	5328.4047	0	5421.140955	6964.493565000001	1123.9747049999999	5331.850035	2425.7276100000004	2915.755245	7821.8607	8133.08115	3401.0309155263158
extenderContig239||sp|D8VNS0.1|	1851	1692.35	5404.832105263158	102.47	33088.49	615.91	275.83	459.94	47994.14	511.7	103655.78	119900.9	195941.26	55.84	46.76	100.34	103.58	266.75	97.67	192.98	59.12	278	11.31	27019.68	71.62	32.49	76.9	6063.05	87.88	27632.15	13170.6	28358.67	8.44	6.86	14.57	19.31	40.6	8.41	19.85	7.86	41.56	3.070665	7335.8431200000005	19.444830000000003	8.821035	20.878350000000005	1646.118075	23.859419999999997	7502.128725	3575.8179	7699.378905	2.29146	1.8624900000000002	3.9557550000000004	5.242665	11.0229	2.283315	5.3892750000000005	2.1339900000000003	11.28354	1467.4119165789473
extenderContig248||sp|Q98TX1.3|	318	159.35	3267.002105263158	2932	355	2120	2023	1802	2146	1244	1228	3287	1934	2366	1996	3918	1988	3103	3281	2374	3174	1985	3436.21	2864.78	2673.15	2418.33	2942.03	2735.16	1987.74	3383.77	3811.54	2757.98	3625.57	2961.42	5407.76	3655.24	4576.47	2868.51	2618.16	4370.39	2978.83	932.931015	777.78777	725.760225	656.576595	798.761145	742.5959399999999	539.6714099999999	918.6935550000001	1034.83311	748.79157	984.342255	804.02553	1468.20684	992.39766	1242.5116050000001	778.800465	710.83044	1186.560885	808.752345	886.9910715789474
extenderContig249||sp|P0C0U8.1|	444	285.35	1581.6031578947368	324	77.99	976	18302.94	38.35	4715.19	533.69	1842.23	1516.59	3.5	0	53.89	355	1172.92	137.17	68.79	95.67	8061	456.46	212.05	363.79	680.27	12489.45	36.39	3439.92	506.84	2872.18	984.96	2.89	0	45.72	288.38	1247.76	118.02	34.32	58.65	6275.84	393.03	57.571575	98.76898500000001	184.693305	3390.885675	9.879885	933.9382800000001	137.60706	779.7968699999999	267.41664	0.7846350000000001	0	12.412980000000001	78.29517	338.76684	32.042429999999996	9.31788	15.923475	1703.89056	106.707645	429.4052573684211
extenderContig249||sp|P46778.2|	483	324.35	4283.481578947369	5055	891	4984	6582	5348	6499	3683	3062	7200	5485	5864	5160	6774	6139	6879	11283	6142	10459	5147	2910.51	3675.93	3051.43	3964.71	4492.88	4187.1	3107.54	4208.32	4115.67	4005.3	4529.94	3864.72	4881.12	5777.14	5242.34	4968.58	3310.34	7177.34	3915.24	790.203465	998.0149949999999	828.4632449999999	1076.4187650000001	1219.8169200000002	1136.7976500000002	843.69711	1142.5588799999998	1117.404405	1087.43895	1229.87871	1049.2714799999999	1325.22408	1568.4935100000002	1423.29531	1348.96947	898.75731	1948.6478100000002	1062.98766	1162.9652486842106
extenderContig256||sp|P24479.2|	324	165.35	286.0857894736842	92.34	61.25	146.68	0	204.62	922.29	80.96	167.48	782	247.49	160.35	16.95	405.3	0	1.65	0	469.5	80.95	13.91	104.29	477.66	178.09	0	322.99	1135.12	125.28	445.22	874.1	341.11	237.24	24.29	541.39	0	2.35	0	498.81	107.53	20.16	28.314735000000002	129.68469000000002	48.351435	0	87.691785	308.18507999999997	34.01352	120.87723000000001	237.31815	92.611365	64.41066	6.594734999999999	146.987385	0	0.638025	0	135.42691499999998	29.194395	5.47344	77.67229184210527
